Info 0    [17:22:54.085] Starting TS Server
Info 1    [17:22:54.094] Version: 4.7.2
Info 2    [17:22:54.094] Arguments: /usr/local/Cellar/node/18.2.0/bin/node /usr/local/Cellar/typescript/4.7.2/libexec/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/josh/code/brn/static/js/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/tc/qx8fq8t13w38l2skn5sy6q7r0000gn/T/3f2b42cd198a9702d112f8aa9450ce9d/tscancellation*
Info 3    [17:22:54.094] Platform: darwin NodeVersion: 18 CaseSensitive: false
Info 4    [17:22:54.094] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:22:54.108] Format host information updated
Info 6    [17:22:54.120] Search path: /Users/josh/code/brn/static/js
Info 7    [17:22:54.121] For info: /Users/josh/code/brn/static/js/task_twoafc.js :: No config files found.
Info 8    [17:22:54.124] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [17:22:54.565] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 440.34170150756836ms
Info 10   [17:22:54.565] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [17:22:54.565] 	Files (19)

Info 12   [17:22:54.565] -----------------------------------------------
Info 13   [17:26:02.190] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [17:26:02.212] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 20.445711135864258ms
Info 15   [17:26:02.212] Different program with same set of files
Info 16   [17:26:02.214] getCompletionData: Get current token: 0.020624160766601562
Info 17   [17:26:02.214] getCompletionData: Is inside comment: 0.0077648162841796875
Info 18   [17:26:02.214] getCompletionData: Get previous token: 0.22605323791503906
Info 19   [17:26:02.215] getCompletionsAtPosition: isCompletionListBlocker: 0.2953014373779297
Info 20   [17:26:07.236] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [17:26:07.252] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 15.73060417175293ms
Info 22   [17:26:07.252] Different program with same set of files
Info 23   [17:26:09.451] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [17:26:09.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 12.604411125183105ms
